category,scene_name,path,description,placement_notes
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L04_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L04_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L06_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L06_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L08_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L08_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L10_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L10_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L12_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L12_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L14_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L14_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L18_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L18_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L22_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_NarrowBeam_L22_CSG.tscn,Simple narrow timber beam bridge for roof-to-roof gap crossings.,Place between two roof edges. Long axis runs along local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L06_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L06_CSG.tscn,Wider timber bridge with simple rails for safer roof-to-roof crossings.,Use over alleys and commercial market gaps. Long axis is local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L10_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L10_CSG.tscn,Wider timber bridge with simple rails for safer roof-to-roof crossings.,Use over alleys and commercial market gaps. Long axis is local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L14_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L14_CSG.tscn,Wider timber bridge with simple rails for safer roof-to-roof crossings.,Use over alleys and commercial market gaps. Long axis is local Z.
CrossBuilding,GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L18_CSG,Assets/Models/Environment/Settlements/Modules/Galakas/MidCity/Houses/TraversalComponents/CrossBuilding/GalakasMidCity_TRAV_CrossBuilding_TimberBridge_L18_CSG.tscn,Wider timber bridge with simple rails for safer roof-to-roof crossings.,Use over alleys and commercial market gaps. Long axis is local Z.
